
=== dense ===
    C   sp   k  out  cuDNN_ms   win_ms   ratio  spread
   30   16   3   14      0.05     0.09    0.55  [0.49,0.57]
   30   16   5   12      0.09     0.11    0.83  [0.76,0.86]
   30   16   7   10      0.18     0.18    1.02  [0.94,1.03]
   30   16   9    8      0.35     0.18    1.89  [1.89,1.90]
   30   16  11    6      0.60     0.25    2.36  [2.36,2.39]
   30   32   3   30      0.11     0.19    0.58  [0.56,0.59]
   30   32   5   28      0.39     0.61    0.65  [0.58,0.67]
   30   32   7   26      0.85     1.20    0.71  [0.67,0.73]
   30   32   9   24      1.30     1.52    0.86  [0.69,0.89]
   30   32  11   22      2.16     2.09    1.03  [0.68,1.06]
   30   64   3   62      1.46     2.00    0.73  [0.33,0.79]
   30   64   5   60      3.66     6.22    0.59  [0.40,0.61]
   30   64   7   58      7.88    13.95    0.57  [0.43,0.59]
   30   64   9   56     14.87    19.17    0.78  [0.64,0.82]
   30   64  11   54     24.19    31.12    0.78  [0.70,0.83]
   60   16   3   14      0.06     0.11    0.52  [0.52,0.53]
   60   16   5   12      0.14     0.16    0.90  [0.89,0.91]
   60   16   7   10      0.24     0.34    0.69  [0.69,0.73]
   60   16   9    8      0.46     0.35    1.32  [1.31,1.33]
   60   16  11    6      0.89     0.47    1.90  [1.89,1.97]
   60   32   3   30      0.32     0.47    0.69  [0.47,0.85]
   60   32   5   28      1.17     1.37    0.85  [0.79,1.49]
   60   32   7   26      2.46     2.53    0.97  [0.96,1.06]
   60   32   9   24      3.72     3.66    1.02  [1.01,1.11]
   60   32  11   22      7.40     6.56    1.13  [1.07,1.35]
   60   64   3   62      3.38     5.16    0.65  [0.60,0.67]
   60   64   5   60     13.53    13.61    0.99  [0.92,1.05]
   60   64   7   58     26.16    29.30    0.89  [0.77,1.04]
   60   64   9   56     50.80    42.30    1.20  [1.18,1.26]
   60   64  11   54     85.00    78.00    1.09  [1.07,1.11]
  120   16   3   14      0.12     0.14    0.82  [0.82,0.83]
  120   16   5   12      0.40     0.41    0.97  [0.84,0.97]
  120   16   7   10      0.60     0.69    0.87  [0.76,1.00]
  120   16   9    8      1.07     0.85    1.25  [1.23,1.30]
  120   16  11    6      1.75     0.98    1.78  [1.57,1.81]
  120   32   3   30      1.38     1.78    0.77  [0.30,1.15]
  120   32   5   28      4.70     5.07    0.93  [0.72,1.08]
  120   32   7   26      8.11    10.29    0.79  [0.65,0.83]
  120   32   9   24     13.73    16.66    0.82  [0.66,0.86]
  120   32  11   22     20.01    27.03    0.74  [0.73,0.82]
  120   64   3   62      9.21    14.18    0.65  [0.50,0.72]
  120   64   5   60     36.89    42.07    0.88  [0.83,0.97]
  120   64   7   58    100.06    94.21    1.06  [1.04,1.12]
  120   64   9   56    220.54   171.85    1.28  [1.19,1.34]
  120   64  11   54    406.14   279.67    1.45  [1.42,1.52]
  240   16   3   14      0.41     0.48    0.84  [0.79,0.96]
  240   16   5   12      1.39     1.39    1.00  [0.94,1.12]
  240   16   7   10      3.22     1.97    1.63  [1.20,1.70]
  240   16   9    8      2.95     2.71    1.09  [1.07,1.17]
  240   16  11    6      3.74     2.87    1.30  [1.28,1.39]
  240   32   3   30      4.55     5.10    0.89  [0.67,0.90]
  240   32   5   28     18.77    17.16    1.09  [0.83,1.20]
  240   32   7   26     30.49    29.11    1.05  [0.99,1.09]
  240   32   9   24     56.22    50.62    1.11  [1.07,1.14]
